train_seed,id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
8,8,maze,105,0,149994,policy,3000,3000,137.36280822753906,50.997222900390625,35.264041900634766,35.16004943847656,1439,19.189464569091797,29,0.6915481090545654,0,0,0,0,75.25679779052734,8.529877662658691,-2.999964952468872,0.0,-0.2227732092142105,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
8,9,maze,105,1,149994,policy,3000,3000,168.06228637695312,50.997222900390625,47.78634262084961,35.13603591918945,2592,5.960224628448486,81,0.6474501490592957,0,0,0,0,23.374649047851562,23.824851989746094,-2.999964952468872,0.0,-4.6930365562438965,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
8,10,maze,106,0,149994,policy,3000,3000,148.7477569580078,20.522558212280273,1.7521151304244995,0.040306124836206436,1484,22.070783615112305,51,0.6134082674980164,0,0,0,0,215.0874481201172,37.27606964111328,-2.999964952468872,0.0,-11.887564659118652,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
8,11,maze,106,1,149994,policy,3000,3000,154.7511749267578,20.522558212280273,2.041550874710083,0.1802770048379898,2530,22.305328369140625,57,0.815861701965332,0,0,0,0,217.3736114501953,41.66149139404297,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
9,0,maze,101,0,149994,policy,3000,3000,179.16737365722656,44.0926628112793,24.38356590270996,9.620816230773926,1606,25.917177200317383,133,0.8255188465118408,0,0,0,0,117.55768585205078,45.245567321777344,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
9,1,maze,101,1,149994,policy,3000,3000,157.38307189941406,44.0926628112793,20.883499145507812,18.17742347717285,2748,33.250789642333984,75,0.7455012202262878,0,0,0,0,150.8224334716797,25.51445770263672,-2.999964952468872,0.0,-0.27863675355911255,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
9,2,maze,102,0,149994,policy,3000,3000,135.8556365966797,26.98373794555664,12.364529609680176,11.846128463745117,368,15.716065406799316,24,0.8652225136756897,0,0,0,0,116.48561096191406,13.341367721557617,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
9,3,maze,102,1,149994,policy,3000,3000,134.1147003173828,26.98373794555664,17.12532615661621,16.48184585571289,284,10.450142860412598,22,0.7413572669029236,0,0,0,0,77.45491790771484,12.22958755493164,-2.999964952468872,0.0,-0.5270126461982727,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
9,4,maze,103,0,149994,policy,3000,3000,138.51197814941406,36.81302261352539,17.13209342956543,17.05838966369629,2413,19.68094825744629,32,0.855037271976471,0,0,0,0,106.92390441894531,13.038869857788086,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
9,5,maze,103,1,149994,policy,3000,3000,159.44566345214844,36.81302261352539,12.60394287109375,12.474953651428223,2732,26.5745849609375,81,0.8441888093948364,0,0,0,0,144.37632751464844,33.0046501159668,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
9,6,maze,104,0,149994,policy,3000,3000,142.1645965576172,39.78676986694336,31.181297302246094,27.047048568725586,500,11.216585159301758,48,0.8049246668815613,0,0,0,0,56.383544921875,18.096466064453125,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
